DOMAIN,DOMAIN_TYPE,DNS_SERVER,SPF,SPF_MULTIPLE_ALLS,SPF_NUM_DNS_QUERIES,SPF_TOO_MANY_DNS_QUERIES,DMARC,DMARC_POLICY,DMARC_PCT,DMARC_ASPF,DMARC_SP,DMARC_FORENSIC_REPORT,DMARC_AGGREGATE_REPORT,BIMI_RECORD,BIMI_VERSION,BIMI_LOCATION,BIMI_AUTHORITY,SPOOFING_POSSIBLE,SPOOFING_TYPE
"cttso.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1;  p=none; rua=mailto:dmarc-reports@iwtsd.gov,none,,,,,dmarc-reports@iwtsd.gov,,,,,,"Spoofing might be possible (Mailbox dependent) for cttso.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov."
"fvap.gov,Federal - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,VA,tech@fvap.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1;p=none; sp=none; ruf=mailto:dmarc_reports@mail.mil; rua=mailto:dmarc_reports@mail.mil; fo=1,none,,,none,dmarc_reports@mail.mil,dmarc_reports@mail.mil,,,,,,"Spoofing might be possible (Mailbox dependent) for fvap.gov,Federal - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,VA,tech@fvap.gov."
"iwtsd.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1;  p=none; rua=mailto:dmarc-reports@iwtsd.gov,none,,,,,dmarc-reports@iwtsd.gov,,,,,,"Spoofing might be possible (Mailbox dependent) for iwtsd.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov."
"goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=quarantine; rua=mailto:dmarc@GOLDWATERSCHOLARSHIP.GOV,quarantine,,,,,dmarc@GOLDWATERSCHOLARSHIP.GOV,,,,,FALSE,"Spoofing is not possible for goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,Alexandria,VA,goldwaterao@goldwaterscholarship.gov."
"altusandc.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,Patrick AFB,FL,dco@aftac.gov",domain,1.1.1.1,,,0,FALSE,,,,,,,,,,,,TRUE,"Spoofing possible for altusandc.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,Patrick AFB,FL,dco@aftac.gov."
"itc.gov,Federal - Executive,Department of Defense,Interagency Training Center,Fort Washington,MD,itcrowd@itc.gov",domain,1.1.1.1,,,0,FALSE,,,,,,,,,,,,TRUE,"Spoofing possible for itc.gov,Federal - Executive,Department of Defense,Interagency Training Center,Fort Washington,MD,itcrowd@itc.gov."
"cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:dmarcreports@cftc.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreports@cftc.gov; fo=1",reject,,,,dmarcreports@cftc.gov,"dmarcreports@cftc.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov."
"devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:dmarcreports@cftc.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreports@cftc.gov; fo=1",reject,,,,dmarcreports@cftc.gov,"dmarcreports@cftc.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,esoc@cftc.gov."
"smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:dmarcreports@cftc.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreports@cftc.gov; fo=1",reject,,,,dmarcreports@cftc.gov,"dmarcreports@cftc.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov."
"coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; pct=100; fo=1; ri=86400; rua=mailto:dmarcreports@gsa.gov, mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcfailures@gsa.gov",reject,100,,,dmarcfailures@gsa.gov,"dmarcreports@gsa.gov, reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,Washington,DC,gsa-vulnerability-reports@gsa.gov."
"whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:dmarcreports@cftc.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreports@cftc.gov; fo=1",reject,,,,dmarcreports@cftc.gov,"dmarcreports@cftc.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov."
"bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:CFPB_DMARC@cfpb.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,CFPB_DMARC@cfpb.gov",,,,,FALSE,"Spoofing is not possible for mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov."
"drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"anchorit.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for anchorit.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"cpsc.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for cpsc.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"recalls.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for recalls.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"americanclimatecorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,WASHINGTON,DC,unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for americanclimatecorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,WASHINGTON,DC,unsafe@cns.gov."
"acc.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for acc.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov."
"americorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for americorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@cpsc.gov",reject,,,,,"reports@dmarc.cyber.dhs.gov,dmarc@cpsc.gov",,,,,FALSE,"Spoofing is not possible for seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov."
"ccc.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for ccc.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov."
"climatecore.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for climatecore.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"climatecorp.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for climatecorp.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"cncs.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for cncs.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"climatecorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for climatecorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,unsafe@cns.gov."
"cns.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for cns.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"joinamericorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for joinamericorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
"mentor.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov,reject,,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for mentor.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov."
